job title,job link
"Marketing Manager, CEPC Marketing",https://in.linkedin.com/jobs/view/marketing-manager-cepc-marketing-at-amazon-3033068590?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=bLiTdL%2BeLcq%2F%2Fi%2FWeWbkpg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Team Lead (Intern),https://in.linkedin.com/jobs/view/team-lead-intern-at-amazon-3046898629?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=uQ15wmWsrsjOTf3dPNQPXg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Assistant,https://in.linkedin.com/jobs/view/sales-assistant-at-amazon-3046897856?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=f36KLN%2BK6X3Jsq%2BH2RXCxw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
"Central Operations Executive, Central Operations Executive",https://in.linkedin.com/jobs/view/central-operations-executive-central-operations-executive-at-amazon-3056179199?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=lc%2Bqr3OOoFP0mg%2FyY%2FHZsA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
"Sales Associate, Direct Sales",https://in.linkedin.com/jobs/view/sales-associate-direct-sales-at-amazon-3045224970?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=tfcFq26Rj1zptmkuxsuChw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
"Sales Associate, Direct Sales",https://in.linkedin.com/jobs/view/sales-associate-direct-sales-at-amazon-3045225882?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=YTvP4pSxjuC2uMKf8eCn7Q%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
"Sales Associate, Direct Sales",https://in.linkedin.com/jobs/view/sales-associate-direct-sales-at-amazon-3045226795?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=Shq5KG58MDiEn%2BAWlUO1Mw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
"Team Lead (Intern), AMXL",https://in.linkedin.com/jobs/view/team-lead-intern-amxl-at-amazon-3046897849?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=h86PCcfTFh775QkzFAzJag%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Account Management - Associate - English Language(UK),https://in.linkedin.com/jobs/view/account-management-associate-english-language-uk-at-amazon-3044020331?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=Sbs4zA8w685NJk20Bj3ShA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Team Lead,https://in.linkedin.com/jobs/view/team-lead-at-amazon-3047502081?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=OE9%2ByBBvjwVT23Pez5QMsQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
